Symbol,12/31/19 Stock Price,12/31/18 Stock Price,Industry,Average Revenue Growth Rate,Net Income,EPS,Market Cap,Debt-to-Equity,Free Cash Flow,Beta,Moving Average,Stock Growth Rate
MMM,176.42,190.54,7,0.001972031,-0.016086362,0.007224694,-0.007419718,0.337036627,0.009105975,0.952213309,171.5566218,0.037705058
ABT,86.86,72.33,6,0.095208714,0.100513584,0.067565217,0.177738282,0.129106154,0.116030493,1.028069344,50.07549823,0.125844067
ABBV,88.54,92.19,6,0.107561904,0.347524168,0.366553185,0.046585183,0.18039377,0.341748111,1.103628437,68.14832496,0.089457094
ABMD,170.59,325.04,6,0.315947461,0.677879755,0.645574175,0.376908175,-0.006525744,0.514401024,1.144663174,104.6241973,0.709491739
ACN,210.57,141.01,8,0.062845891,0.099806239,0.097754977,0.176348113,0.659423792,0.08355317,1.055842457,117.4264028,0.120953135
ATVI,59.42,46.57,1,0.080357609,0.12489574,0.114474777,0.258009052,-0.168044617,0.069785092,1.17118183,37.58524708,0.23298501
ADBE,329.81,226.24,8,0.219193233,0.63378256,0.64105714,0.345099522,0.125608911,0.287322461,1.265727994,121.2279784,0.328185533
AMD,45.86,18.46,8,0.040995079,0.085416082,0.095086603,0.898602592,-0.403484455,0.084617158,1.627881565,7.381936705,0.62154912
AAP,160.16,157.46,2,-0.002755101,-0.002822141,0.003822517,-0.009358181,-0.018714438,-0.070320049,0.879900571,139.4457508,-0.002868927
AES,19.9,14.46,11,-0.098856927,0.085416082,0.095086603,0.061157508,0.026143719,0.084617158,0.876667243,12.92833582,0.012298488
AFL,52.9,45.56,5,-0.00373244,0.02285522,0.063886664,0.071230172,-0.048744235,-0.035925289,0.891903873,36.99644857,0.10512371
A,85.31,67.46,6,0.04986226,0.162711015,0.174008448,0.140254449,-0.010463482,0.104857911,1.232348993,50.79567554,0.132986212
APD,234.99,160.05,9,-0.030602862,0.129710229,0.121925987,0.10913237,-0.180772449,0.06035257,1.00082536,141.9838788,0.046701263
AKAM,86.38,61.08,8,0.080601299,0.074375682,0.094291015,0.044906824,0.202045679,0.07890376,1.281913507,62.39508874,-0.007550134
ALK,67.75,60.85,7,0.103433828,0.049141806,0.068412601,0.010353895,0.172123171,0.250148536,1.111828128,63.09474868,0.004529045
ALB,73.04,77.07,9,0.079766345,0.319490095,0.243759056,0.104793633,-0.089855555,0.084617158,1.174778521,76.55124491,0.064016931
ARE,161.58,115.24,10,0.160699091,0.085416082,0.095086603,0.238314675,-0.029641454,0.423528419,0.669528593,102.8191352,0.067507553
ALXN,108.15,97.36,6,0.174445862,0.296272454,0.265833754,-0.081898477,0.437420728,0.308599847,1.479272697,137.7858163,-0.148304007
ALGN,279.04,209.43,6,0.258741135,0.248723394,0.253477486,0.374114193,-0.035168216,0.241252544,1.36664898,111.5922528,0.391192892
ALLE,124.54,79.71,7,0.061434747,0.180579305,0.187625225,0.168627473,-0.625444185,0.156351106,1.000085686,72.35782407,0.094922136
AGN,191.17,133.66,6,0.102243205,0.085416082,0.095086603,-0.016582715,-0.135561298,0.279122825,1.000136046,208.3656587,-0.151124478
ADS,112.2,150.08,8,0.010282651,-0.092919526,-0.074970142,-0.223566666,0.163642413,-0.019305601,1.14574958,225.6181765,-0.148920329
LNT,54.72,42.25,11,0.017154871,0.076051549,0.062882733,0.126310326,0.042933627,1.445541388,0.417115731,36.25867545,0.062036541
ALL,112.45,82.63,5,0.048596001,0.112053374,0.175012022,0.043343426,0.027716132,0.09758995,0.800358032,75.20126393,0.041412668
GOOGL,1339.39,1044.96,1,0.196509618,0.192905534,0.187266758,0.208235346,0.059844573,0.220909435,1.140122559,798.0792041,0.184597545
GOOG,1102.49,1184.62,1,0.196509618,0.192905534,0.06828812,0.208235346,0.059844573,0.220909435,1.238076568,847.9046236,0.209444487
MO,49.91,49.39,3,0.019827683,0.085416082,0.095086603,-0.008656396,-0.053157932,0.110241087,1.506357209,54.39739099,0.000608334
AMZN,1847.84,1501.97,2,0.258134571,0.085416082,0.095086603,0.448458091,0.151729373,0.618621328,1.280315912,763.802192,0.483209086
AEE,76.8,65.23,11,-0.004770223,0.071584799,0.068471413,0.110407731,0.037476602,0.084617158,0.421694572,50.82257084,0.090475672
AAL,28.68,32.11,7,0.014216371,-0.101738914,-0.010180237,-0.200525097,0.453114923,0.084617158,1.362222476,40.67235357,-0.120353605
AEP,94.51,74.74,11,-0.013704655,0.032903107,0.030304042,0.094615617,0.047541704,0.084617158,0.344726425,64.01865823,0.053307879
AXP,124.49,95.32,5,0.055479332,0.028080675,0.074593333,0.011373215,-0.014804786,0.041216911,1.016045147,86.19355939,0.00607089
AIG,51.33,39.41,5,-0.050343888,0.085416082,0.095086603,-0.10648878,0.103798543,0.084617158,1.05667338,55.2538654,-0.084127086
T,39.08,28.54,1,0.064681868,0.17041792,0.094444256,0.103798259,0.023268619,0.239959462,0.640942354,35.40211337,-0.039912111
AMT,229.82,158.19,10,0.130783572,0.180075741,0.161489535,0.210349476,0.048596186,0.189370793,0.700708127,118.1667979,0.124735979
AWK,122.85,90.77,11,0.03675437,0.079507576,0.07764675,0.183688379,0.046020773,0.084617158,0.428341571,69.32534322,0.142362088
AMP,166.58,104.37,5,0.009589835,0.031764909,0.108194038,-0.028632955,0.015870712,-0.120548588,1.496326858,122.7210535,-0.057470394
ABC,85.02,74.4,6,0.07987204,0.791868613,0.952326197,-0.023492592,0.071019947,-0.112645497,0.784397882,84.56860935,-0.046897172
AME,99.74,67.7,7,0.051037015,0.08063649,0.097520019,0.119892807,0.037178416,0.091045296,1.106692424,59.46454183,0.064973557
AMGN,241.07,194.67,6,0.03091493,0.087399428,0.137836861,0.034036333,0.176828548,0.01713875,1.155032056,160.0515699,0.051423378
APH,108.23,81.02,8,0.090018173,0.10247152,0.114726261,0.140189423,0.021099144,0.124384992,1.051251543,65.65137122,0.107725904
ADI,118.84,85.83,8,0.158998205,0.16714702,0.128574809,0.204298782,0.12390244,0.233129295,1.222416788,70.40823147,0.115057887
ANSS,257.41,142.94,8,0.101226196,0.121217134,0.141534233,0.239297492,-0.035168216,0.048368444,1.095493431,112.7913998,0.14903956
ANTM,302.03,262.63,6,0.071237924,0.133439489,0.152538998,0.176866545,0.012489076,0.134259739,0.904568825,164.4514892,0.202342447
AON,208.29,145.36,5,-0.017755135,0.01862064,0.061444456,0.123183698,0.242534598,0.028230564,0.882996547,115.7813975,0.112691553
AOS,47.64,42.7,7,0.049005051,0.122305875,0.142614879,0.089954896,0.04084505,0.171056089,1.160721323,40.3497548,0.109239797
APA,25.59,26.25,4,-0.131763189,0.085416082,0.095086603,-0.164206123,0.304744378,0.084617158,1.301921966,51.27945011,-0.195516014
AIV,51.65,45.2486,10,-0.01465999,0.08920397,0.084723517,0.072011992,-0.05937359,0.084617158,1.510547294,41.15194464,0.042502087
AAPL,293.65,157.74,8,0.06024214,0.052874352,0.113027807,0.150474865,0.359409333,0.013024731,1.054081613,130.4857116,0.093359195
AMAT,61.04,32.74,8,0.09996165,0.203445982,0.265614865,0.12914491,0.203044132,0.12473008,1.402595451,29.66362465,0.070613362
APTV,94.97,61.57,2,-0.01519101,-0.060285411,-0.030216126,0.024026017,0.122396985,-0.093740313,1.299495817,67.61550004,0.00270168
ADM,46.35,40.97,3,-0.044546642,-0.093112133,-0.065624315,-0.05074504,0.136560051,0.084617158,0.925688021,43.37802433,-0.05785954
AJG,95.23,73.7,5,0.09233449,0.171267621,0.12752361,0.185133393,0.043715536,0.225209981,0.817367556,55.71851411,0.118556069
AIZ,131.08,89.44,5,-0.005984316,-0.04068339,-0.020517115,0.105779044,0.105903108,0.084617158,0.899847556,83.56770529,0.069230436
ATO,111.86,92.72,11,-0.101650502,0.121280227,0.081583656,0.194712227,-0.041478335,0.084617158,0.493976027,70.54958702,0.135668591
ADSK,183.46,128.61,8,0.050376602,0.085416082,0.095086603,0.241894396,0.773887872,0.084617158,1.460215813,80.81468779,0.209685159
ADP,170.5,131.12,8,0.064446215,0.113803508,0.136218018,0.129172441,0.290355193,0.088366158,0.990345733,99.24571276,0.119862713
AZO,1191.31,838.34,2,0.044988902,0.081966327,0.146410507,0.073136371,-0.035168216,0.122818944,0.643233327,691.328775,0.078730833
AVB,209.7,174.05,10,0.066467048,0.028313218,0.015597727,0.063090037,-0.00844717,0.084617158,1.355873288,170.1380173,0.015926149
AVY,130.82,89.83,9,0.022351534,0.044250233,0.067249182,0.182416453,0.181923157,0.205548076,1.015090585,74.58968662,0.147110772
BKR,25.63,21.5,4,0.166702302,0.085416082,0.095086603,0.016542834,0.0615541,0.084617158,1.162521851,43.78627259,-0.213086536
